Engagement_Score,Acquisition_Cost,Actual_ROI,Predicted_ROI,Residuals,Significant_Deviation,Campaign_ID
7,6486.0,2.35,4.983215852272462,-2.633215852272462,True,80328
7,10865.0,7.62,4.9940188702160775,2.6259811297839226,True,118960
8,17351.0,2.39,5.009334778827576,-2.6193347788275756,True,46804
10,6710.0,7.67,4.981713190546441,2.688286809453559,True,110857
2,16324.0,2.33,5.010911705981524,-2.680911705981524,True,194132
2,16731.0,7.82,5.011915777299873,2.8080842227001277,True,106614
2,7075.0,2.08,4.988094370297464,-2.908094370297464,True,43232
5,18770.0,2.39,5.014890730912437,-2.6248907309124365,True,103763
4,6501.0,7.88,4.985308128359873,2.894691871640127,True,50329
7,17825.0,7.93,5.011189229861559,2.9188107701384407,True,6197
10,19616.0,2.29,5.013552366061467,-2.723552366061467,True,101322
7,5001.0,7.96,4.97955234881362,2.98044765118638,True,191100
7,16307.0,7.8,5.007444315214743,2.792555684785257,True,33448
1,17466.0,2.21,5.014414116820562,-2.8044141168205616,True,4885
1,9692.0,7.67,4.995235614538382,2.674764385461618,True,4877
6,13607.0,2.37,5.001468490169019,-2.631468490169019,True,91653
3,19157.0,7.8,5.017215642784841,2.782784357215159,True,107256
6,16346.0,2.17,5.008225618770883,-2.838225618770883,True,132775
1,16893.0,7.97,5.013000522556645,2.956999477443355,True,38923
3,6804.0,7.98,4.986740721419807,2.9932592785801937,True,99267
4,9209.0,2.16,4.991988779785155,-2.8319887797851546,True,188341
8,9055.0,2.16,4.988868499571985,-2.8288684995719846,True,10524
4,5546.0,2.19,4.9829521379200115,-2.7929521379200115,True,149415
10,13032.0,7.9,4.997309600557753,2.902690399442247,True,188165
4,16161.0,2.36,5.009139403385066,-2.649139403385066,True,71720
4,16715.0,2.27,5.010506124540756,-2.740506124540756,True,35658
1,11390.0,7.86,4.999424590210512,2.8605754097894884,True,194527
9,10101.0,2.31,4.99076389719621,-2.68076389719621,True,192641
7,10108.0,2.07,4.992151346904062,-2.922151346904062,True,183562
6,7938.0,2.36,4.987483034877319,-2.627483034877319,True,79837
1,6615.0,2.18,4.987644638011205,-2.807644638011205,True,136700
7,10141.0,2.22,4.992232758092036,-2.7722327580920356,True,2618
1,11879.0,7.86,5.000630955995949,2.859369044004051,True,56404
8,7062.0,7.79,4.9839517572194785,2.8060482427805216,True,163082
9,7254.0,2.03,4.983740331979157,-2.9537403319791573,True,42834
