Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Expected_ROI,ROI_Deviation
190,Innovate Industries,Influencer,All Ages,15 days,Email,0.1,5363.0,5.46,Chicago,German,369,8511,8,Tech Enthusiasts,9/7/2021,16.981722181273305,-11.521722181273304
195,DataTech Solutions,Email,All Ages,45 days,Email,0.15,5272.0,3.62,Chicago,Spanish,939,9590,9,Foodies,14-07-2021,19.434199177814843,-15.814199177814842
387,Alpha Innovations,Search,All Ages,60 days,Instagram,0.15,5599.0,2.81,Houston,English,896,7009,10,Health & Wellness,22-01-2021,20.332420087999807,-17.52242008799981
555,NexGen Systems,Influencer,All Ages,15 days,Email,0.1,5244.0,5.29,Chicago,German,416,3785,9,Tech Enthusiasts,9/7/2021,19.537966831700963,-14.247966831700964
571,Alpha Innovations,Email,All Ages,60 days,Google Ads,0.08,5236.0,6.38,Miami,Spanish,444,4623,10,Foodies,25-07-2021,21.742020640319126,-15.362020640319127
578,NexGen Systems,Display,All Ages,60 days,Google Ads,0.14,7321.0,2.21,Chicago,English,897,5065,9,Health & Wellness,1/8/2021,13.994959440710264,-11.784959440710264
610,DataTech Solutions,Display,All Ages,15 days,Facebook,0.06,5325.0,5.01,Chicago,French,960,2859,8,Health & Wellness,2/9/2021,17.10290630200352,-12.092906302003522
925,Innovate Industries,Social Media,All Ages,60 days,YouTube,0.06,6258.0,4.01,Chicago,English,879,5281,9,Foodies,14-07-2021,16.37217930096514,-12.36217930096514
1624,Alpha Innovations,Display,All Ages,30 days,Website,0.14,6077.0,5.18,Los Angeles,Mandarin,642,5682,10,Fashionistas,13-06-2021,18.73312820021572,-13.55312820021572
1787,Alpha Innovations,Social Media,All Ages,45 days,Instagram,0.14,5099.0,6.22,Miami,French,909,5973,9,Foodies,23-11-2021,20.09356698675031,-13.873566986750312
1959,Innovate Industries,Social Media,All Ages,30 days,Facebook,0.15,5501.0,4.69,Los Angeles,Mandarin,594,1468,9,Outdoor Adventurers,14-05-2021,18.625176888827458,-13.935176888827456
1988,Innovate Industries,Display,All Ages,30 days,Facebook,0.06,5692.0,5.44,Houston,German,506,2571,9,Outdoor Adventurers,12/6/2021,18.000192913815855,-12.560192913815854
2061,DataTech Solutions,Social Media,All Ages,45 days,Google Ads,0.07,5211.0,5.29,Chicago,German,870,5910,10,Foodies,24-08-2021,21.84632893354652,-16.55632893354652
2394,Alpha Innovations,Social Media,All Ages,30 days,Facebook,0.11,5160.0,3.61,Chicago,English,174,2197,10,Outdoor Adventurers,23-07-2021,22.062251952075762,-18.452251952075763
2431,TechCorp,Social Media,All Ages,30 days,Google Ads,0.15,5875.0,3.8,Houston,German,149,1298,10,Fashionistas,29-08-2021,19.37722894854654,-15.57722894854654
2517,Innovate Industries,Display,All Ages,45 days,YouTube,0.12,5958.0,2.59,Los Angeles,English,828,3551,9,Health & Wellness,23-11-2021,17.196558923370233,-14.606558923370233
